Username,Handle,Timestamp,Comments,Likes,Retweets,Text
One America News,@OANN,2020-11-13T14:14:10.000Z,"Now that Fox News has joined the mainstream media in censoring factual reporting, the most powerful leaders in the world count on 
@OANN
 to deliver the truth to YOU!

Contact your cable provider and kindly demand they carry One America News Network today! #OANN0:28
2.2M views",6.5K,23.1K,71.4K
Charles,@CharlesPHerring,2020-12-18T05:14:14.000Z,"Q.  How does 
@OANN
 outflank Fox News on its right?  A. 
@OANN
 holds the wheel steady and straight forward as Fox News swerves hard LEFT down one-way roads.  Join us 
@OANN
, we won’t take you for left turn joy rides.  6th week with record setting ratings.",98,503,3.1K
Ameer Benno,@AmeerBenno,2020-12-18T04:23:03.000Z,"I always enjoy being on #TippingPoint with 
@Nefertari_25
 on 
@OANN
!  
 Yesterday, we discussed the law relating to the upcoming #JointSession of #Congress on 1/6, the need for #independentcounsel to investigate #HunterBiden and other news of the day!  ",24,100,585
One America News,@OANN,2020-12-18T02:53:46.000Z,"Motion filed to depose Gov. Newsom over Calif. protest bans at Capitol - https://oann.com/motion-filed-to-depose-gov-newsom-over-calif-protest-bans-at-capitol/… #OANNMotion filed to depose Gov. Newsom over Calif. protest bans at Capitol
The complaints continue to pile up for California Governor Gavin Newsom.
oann.com",86,809,3.6K
One America News,@OANN,2020-12-18T02:15:07.000Z,"Coroner in Colo. slams COVID-19 death data, says it’s inflated - https://oann.com/coroner-in-colo-slams-covid-19-death-data-says-its-inflated/… #OANNCoroner in Colo. slams COVID-19 death data, says its inflated | One Am
As the number of coronavirus deaths continues to grow, one coroner said many of the deaths listed are not from COVID-19 at all.
oann.com",121,1.3K,3.5K
One America News,@OANN,2020-12-18T01:40:27.000Z,"GOP Electors Vote For President Trump https://rumble.com/vbz8zb-gop-electors-vote-for-president-trump.html?mref=5z34n&mc=c3aii… #OANN 
@christina_bobbGOP electors vote for President Trump
Arizona state Senator-elect Kelly Townsend explained the significance of GOP electors voting for President Trump during the Electoral College vote this week. One America's Christina Bobb has more from
rumble.com",87,734,3.8K
One America News,@OANN,2020-12-18T01:18:29.000Z,"Sen.-elect Tommy Tuberville to object electoral votes on Jan. 6 - https://oann.com/sen-elect-tommy-tuberville-to-object-electoral-votes-on-jan-6/… #OANNSen.-elect Tommy Tuberville to object electoral votes on Jan. 6 | One
Senator-elect Tommy Tuberville (R-Ala.) may be joining Republican efforts to challenge the electoral college vote count on January 6.
oann.com",2.6K,10.5K,42.6K
Alex Salvi,@alexsalvinews,2020-12-18T01:14:29.000Z,"Tonight on #AfterHours on 
@OANN
!

Facebook & Elections - 
@JeffLandry
GOP's Investigations - 
@JimRenacci
 
GA Senate Runoffs - 
@TheLeoTerrell
 
Coronavirus Vaccine Rollout - 
@liligil
 

Tune in at 10:00pm ET / 7:00pm PT!",24,129,544
Christina Bobb,@christina_bobb,2020-12-18T01:01:40.000Z,The left’s fakes election is crumbling.  It’s a complete disaster.  They’re just hoping it doesn’t completely collapse before Jan 20.  Huff. Puff. Blow it down.,240,1.6K,8.4K
Pearson Sharp,@PearsonSharp,2020-12-17T23:43:02.000Z,"Let's see: 
In 2012, Obama won
Nevada: 531K votes
Georgia: 1.77M
Arizona: 1.025M 

In 2020, Trump won
Nevada: 669K votes
Georgia: 2.4M
Arizona: 1.66M

Trump FAR outperformed Obama's second run, but lost to Joe Biden—who was beaten by Obama in 2008 primaries. Nothing to see here.",289,2.7K,10.9K
One America News,@OANN,2020-12-17T20:38:38.000Z,"#WeeklyBriefing: Join 
@christina_bobb
 as she catches up with Joe DiGenova & Victoria Toensing, key players of the Trump legal team, to discuss overwhelming evidence of voter fraud in the 2020 election. #OANN0:24
50.4K views",95,598,2.1K
One America News,@OANN,2020-12-17T01:32:05.000Z,"The mainstream media played a big role in convincing Americans to unquestioningly accept the questionable election “results.” In this edition of One America News investigates, 
@OANN
's Caitlin Sinclair and Richard Pollock examine the media’s effort to anoint Biden the “winner.”",136,770,2.4K
One America News,@OANN,2020-12-17T01:31:05.000Z,"In this edition of One America News Investigates, join 
@PearsonSharp
 as he takes an in-depth look at the pandemic to investigate the lockdown that doctors have said is much worse than coronavirus ever was. This Sunday, December 20th at 10 p.m. ET / 7 p.m. PT. Only on #OANN.",37,437,1.3K
One America News,@OANN,2020-12-17T01:28:37.000Z,"In this edition of One America News Investigates, whistleblowers come forward & highlight serious allegations of election irregularities & corruption. Join Caitlin Sinclair & Jack Posobiec to investigate the art of the steal Saturday, December 19 at 10:30 p.m. ET / 7:30 p.m. PT.",60,496,1.6K
One America News,@OANN,2020-12-17T01:22:00.000Z,"How compromised was the 2020 Election? Dominion Voting Systems has a history of problems. Stolen laptops, “switched” votes, Clinton ties, Antifa CEOs, undeniable data!
Join 
@OANN
's 
@chanelrion
 for the exclusive investigation on Saturday, December 19th at 10 p.m. ET / 7 p.m. PT.",182,1.9K,5.6K
One America News,@OANN,2020-12-03T20:00:11.000Z,"#OANN decided to #MakeTheSwitch to #Rumble, where we can freely report the news without restrictions or censorship. 

Subscribe to our channel at http://rumble.com/OANN or download the Rumble app!",659,5.1K,19.3K
One America News,@OANN,2020-11-25T22:07:20.000Z,"Follow One America News on Parler! #OANN@OANN - OANN
OANN is an independent media company owned by Herring Networks Inc. OANN delivers unbiased, substantive national & international news 24/7.
parler.com",251,2K,9.1K
One America News,@OANN,2020-09-29T15:43:10.000Z,"Don't miss After Hours with Alex Salvi on One America News! 

Tune in weeknights at 10 p.m. EST / 7 p.m. PST for a closer look at the days headlines and find out what they really mean for you! 
@alexsalvinews
 #OANN",234,2K,7.5K
Jennifer Franco,@jennfranconews,2020-12-17T22:06:31.000Z,BREAKING: FDA panel endorses Moderna's COVID-19 vaccine for final approval of emergency use by the agency.,58,192,1.1K
One America News,@OANN,2020-12-17T21:35:47.000Z,"Tensions easing around Portland’s red house - https://oann.com/tensions-easing-around-portlands-red-house/… #OANNTensions easing around Portland's red house | One America News Ne
Protesters in Portland have begun standing down after a days long siege in the now infamous red house. On Wednesday, those occupying the property removed the road blocks they had erected along North M
oann.com",28,74,342
Stephanie Hamill,@STEPHMHAMILL,2020-12-17T21:15:16.000Z,"Tune in to ""In Focus"" on 
@OANN
 at 6PME
We have a lot of great guests & so much to talk about! Senator 
@MarshaSays
 /
@VoteMarsha
, 
@JHoganGidley
, 
@RubinReport
 , 
@DineshDSouza
, 
@chrismarko
, 
@theMRC
 ‘s 
@dangainor
 & more join me! 

See you soon! ",47,178,931
One America News,@OANN,2020-12-17T21:25:40.000Z,"Police officer, suspect dead after shootout in N.C. - https://oann.com/police-officer-suspect-dead-after-shootout-in-n-c/… #OANNPolice officer, suspect dead after shootout in N.C. | One America News
A North Carolina police officer was killed while confronting a carjacker.
oann.com",31,176,505
Greta Wall,@GretaLWall,2020-12-17T21:08:12.000Z,"#MarketWrap Wall St closes at new record highs across the board

DJIA +0.49%, 148.83 points at 30,303 

NASDAQ +0.84%, 106.56 points at 12,764
 
S&P 500 +0.58%, 21.31 points at 3,722",40,171,997
Charles,@CharlesPHerring,2020-12-17T21:01:38.000Z,"What is clear is that the 2020 Presidential Election will not be decided until (at least) Jan 6th.  This is simply the process in place regardless of one's opinions. Turn to 
@OANN
 for detailed explanations of the election process by leading experts and Constitutional attorneys.",156,1.1K,7.1K
Charles,@CharlesPHerring,2020-12-17T20:53:17.000Z,"WATCH 
@OANN
: ""I am persuaded that the evidence is COMPELLING and OVERWHELMING that this is the GREATEST AMOUNT OF VOTER FRAUD and ELECTION THEFT theft in American history..."", states Congressman Mo Brook's (AL-05), speaking exclusively with 
@OANN
's DC Bureau Chief, John Hines.",386,7.3K,26.7K
One America News,@OANN,2020-12-17T20:44:40.000Z,"Early voter turnout surges in Ga. runoff elections - https://oann.com/early-voter-turnout-surges-in-ga-runoff-elections/… #OANNEarly voter turnout surges in Ga. runoff elections | One America News
The residents of Georgia are making sure their voices are heard with a surge in early voting for the state's Senate runoff elections. According to reports released on Thursday, more than 715k Geo
oann.com",83,205,783
One America News,@OANN,2020-12-17T20:38:38.000Z,"#WeeklyBriefing: Join 
@christina_bobb
 as she catches up with Joe DiGenova & Victoria Toensing, key players of the Trump legal team, to discuss overwhelming evidence of voter fraud in the 2020 election. #OANN",95,598,2.1K
One America News,@OANN,2020-12-17T19:58:12.000Z,"Joe Biden is Not President Elect - https://oann.com/joe-biden-is-not-president-elect/… #OANNJoe Biden is Not President Elect | One America News Network
You won't hear it said anywhere else, but until the joint session of Congress and the Senate meet on Jan. 6, Joe Biden is not the president elect. One America's Pearson Sharp has more on how
oann.com",376,2.6K,9.8K
One America News,@OANN,2020-12-17T19:20:13.000Z,"#HappeningNow on 
@OANN
: VP Pence gives remarks in Macon, Ga. as he rallies support for Sen. Perdue and Sen. Loeffler. 

Tune in NOW for LIVE coverage! #OANN",46,309,2.1K
Patrick Hussion,@PatrickHussion,2020-12-17T18:52:31.000Z,"Outgoing Congressman Joe Cunningham from South Carolina cracks a cold (lukewarm) one in his farewell speech on the House floor.From 
j.d. durkin",76,164,930
One America News,@OANN,2020-12-17T18:53:17.000Z,"Mainstream media silent on sexual misconduct claims against Democrat Gov. Andrew Cuomo - https://oann.com/mainstream-media-silent-on-sexual-misconduct-claims-against-democrat-gov-andrew-cuomo/… #OANNMainstream media silent on sexual misconduct claims against Democrat G
The mainstream media has faced backlash for not reporting on sexual misconduct claims against New York Gov. Andrew Cuomo (D) despite their amplification of concerns against conservative Supreme Court
oann.com",163,1.3K,3.2K
One America News,@OANN,2020-12-17T18:11:41.000Z,"Report: More than 500K Uyghurs pushed into forced labor in cotton fields https://rumble.com/vbywej-report-more-than-500k-uyghurs-pushed-into-forced-labor-in-cotton-fields.html… #OANNReport: More than 500K Uyghurs pushed into forced labor in cotton fields
A newly released study details the extent to which China is profiting off forced labor of repressed ethnic minorities. One America's Hans Hubbard reports.
rumble.com",65,440,914
One America News,@OANN,2020-12-17T18:06:35.000Z,"Trump legal adviser Jenna Ellis says election battle is not over yet - https://oann.com/trump-legal-adviser-jenna-ellis-says-election-battle-is-not-over-yet/… #OANNTrump legal adviser Jenna Ellis says election battle is not over yet |
President Trump's legal adviser Jenna Ellis said his legal team has ""every intention of continuing to fight for election integrity."" During an interview Wednesday, she urged Americans t
oann.com",175,911,5.7K
One America News,@OANN,2020-12-17T17:15:36.000Z,"VP Pence, HHS Secy. Azar celebrate President’s pro-life achievements - https://oann.com/vp-pence-hhs-secy-azar-celebrate-presidents-pro-life-achievements/… #OANNVP Pence, HHS Secy. Azar celebrate President's pro-life achieveme
OAN Newsroom UPDATED 9:05 AM PT – Thursday, December 17, 2020 The Trump administration recently highlighted its pro-life efforts while continuing to push for ending abortion in the U.S. On Wednesday,
oann.com",25,187,1K
One America News,@OANN,2020-12-17T17:14:27.000Z,"Wall to Wall: Stephen Moore On Unemployment Benefits https://rumble.com/vbytxn-wall-to-wall-stephen-moore-on-unemployment-benefits.html… #OANN 
@GretaLWallWall to Wall: Stephen Moore On Unemployment Benefits
On Wall to Wall, Greta spoke President Trump’s economic adviser, Stephen Moore, who’s raising concerns about the dangers of another round of unemployment benefits.
rumble.com",8,94,303
One America News,@OANN,2020-12-17T16:47:32.000Z,"White House continues election fight despite Senate Majority Leader McConnell https://rumble.com/vbytp1-white-house-continues-election-fight-despite-senate-majority-leader-mcconne.html… #OANNWhite House continues election fight despite Senate Majority Leader McConnell
White House Press Secretary Kayleigh McEnany addressed questions about Mitch McConnell's controversial congratulation to Joe Biden. One America's Chanel Rion has more.
rumble.com",287,1.1K,5.7K
Greta Wall,@GretaLWall,2020-12-17T16:20:44.000Z,"#MORE McConnell says the current package under negotiation includes stimulus checks, 2nd round of PPP, funding for vaccine distribution, funding for testing, funding for schools, extension of unemployment programs",81,122,611
Greta Wall,@GretaLWall,2020-12-17T16:19:46.000Z,"#NEW Senate Majority Leader McConnell says ""we’re getting closer to the finish line"" on stimulus

“We’re going to stay right here until we’re finished, even if that means working through the weekend, which is highly likely"".",103,102,576
One America News,@OANN,2020-12-17T16:03:54.000Z,"R.I. Gov. Raimondo faces backlash after being seen at wine bar - https://oann.com/r-i-gov-raimondo-faces-backlash-after-being-seen-at-wine-bar/… #OANNR.I. Gov. Raimondo faces backlash after being seen at wine bar | One A
Recently, the Governor of Rhode Island , Gina Raimondo (D), was photographed at a wine bar socializing one day before she was diagnosed with COVID-19. The woman who took a photo of Raimondo, friend Er
oann.com",127,780,2.5K
One America News,@OANN,2020-12-17T15:47:27.000Z,"Sen. Kelly Loeffler votes early in Georgia runoffs - https://oann.com/sen-kelly-loeffler-votes-early-in-georgia-runoffs/… #OANNSen. Kelly Loeffler votes early in Georgia runoffs | One America News
Georgia Republican Sen. Kelly Loeffler has cast her ballot early in the state's all important Senate runoff elections.
oann.com",93,190,1.2K
One America News,@OANN,2020-12-17T15:46:55.000Z,"Project Veritas: Assange contacted Clinton State Dept. ahead of massive 2011 communications leak - https://oann.com/project-veritas-assange-contacted-clinton-state-dept-ahead-of-massive-2011-communications-leak/… #OANNProject Veritas: Assange contacted Clinton State Dept. ahead of massiv
Project Veritas released a phone call between Julian Assange and an Obama-era State Department attorney warning of a coming release of unredacted communications. Project Veritas Chief, James O'Ke
oann.com",40,774,2.6K
Greta Wall,@GretaLWall,2020-12-17T15:44:04.000Z,"#MORE Single-family permits were up 1.3% to a rate of 1.143 million units in November while permits for multi-family housing projects jumped 19.2% to a rate of 496,000 units",12,66,368
Greta Wall,@GretaLWall,2020-12-17T15:44:04.000Z,"#MORE Single family starts rose 0.4% to a seasonally adjusted annual rate of 1.186 million units -- highest since April 2007

Multi-family starts surged 4% to a pace of 361,000 units

Permits for future builds rose 6.2% in November, to a rate of 1.639 million units",7,67,347
Greta Wall,@GretaLWall,2020-12-17T15:44:04.000Z,"#NEW U.S. home building continues to boom
@CommerceGov
 reports housing starts rose 1.2% in Nov. to a seasonally adjusted rate of 1.547mn units

That beat economists' expectations for 1.530mn units and is nearing the all-time high set in Feb.

Starts surged 12.8% year-over-year",10,69,353
One America News,@OANN,2020-12-17T15:35:01.000Z,Biden’s immigration policies would flood U.S. with migrants - https://oann.com/bidens-immigration-policies-would-flood-u-s-with-migrants/…  #OANN,273,916,2.5K
