Username,Handle,Timestamp,Comments,Likes,Retweets,Text
Donald J. Trump,@realDonaldTrump,2020-12-18T03:04:23.000Z,"New Peter Strzok Texts Undermine Official Narrative on Start of ‘Russia Collusion‘ Investigation https://breitbart.com/politics/2020/12/17/new-peter-strzok-texts-undermine-official-narrative-on-start-of-russia-collusion-investigation/… via 
@BreitbartNews
. Check out last in his class John McCain, one of the most overrated people in D.C.New Peter Strzok Texts Undermine Official Narrative on Start of 'Russia Collusion' Investigation
On July 28, 2016 -- the day the FBI heard about Papadopoulos -- Peter Strzok texted Lisa Page about ""investigations"" that were already open.
breitbart.com",238,914,2.4K
Kyle Morris,@RealKyleMorris,2020-12-18T01:20:08.000Z,"Sen.-elect 
@TTuberville
: ""I'm always going to support President 
@realDonaldTrump
. He’s the best president of my lifetime and has done more for the people of this country and the state of Alabama than anybody.

""We want to make sure we do the right thing.”Exclusive: Tuberville doing ‘due diligence’ before making decision on congressional challenge to...
ATLANTA, Ga. — In a phone interview with Yellowhammer News on Thursday, U.S. Senator-elect Tommy Tuberville (R-AL) spoke about his
yellowhammernews.com",2K,5.3K,19.8K
One America News,@OANN,2020-12-18T01:18:29.000Z,"Sen.-elect Tommy Tuberville to object electoral votes on Jan. 6 - https://oann.com/sen-elect-tommy-tuberville-to-object-electoral-votes-on-jan-6/… #OANNSen.-elect Tommy Tuberville to object electoral votes on Jan. 6 | One
Senator-elect Tommy Tuberville (R-Ala.) may be joining Republican efforts to challenge the electoral college vote count on January 6.
oann.com",1.3K,5.6K,22.7K
Donald J. Trump,@realDonaldTrump,2020-12-17T14:55:38.000Z,"I have NOTHING to do with the potential prosecution of Hunter Biden, or the Biden family. It is just more Fake News. Actually, I find it very sad to watch!",23.4K,42.5K,211K
Jess,@jessiprincey,2020-12-16T16:27:42.000Z,Rand Paul states over TWO DOZEN states changed their elections laws without going through the legislatures.,4.5K,26.7K,87.6K
Mark R. Levin,@marklevinshow,2020-12-17T01:01:38.000Z,"Rand Paul is right onRand Paul: Voter fraud 'happened' and election was in 'many ways stolen'
Sen. Rand Paul railed against voter fraud in the 2020 election during a Senate hearing, saying voter fraud happened and that the election was “in many ways stolen.”
washingtonexaminer.com",4K,16.7K,59K
Donald J. Trump,@realDonaldTrump,2020-12-17T14:52:58.000Z,"All-time Stock Market high. The Vaccine and the Vaccine rollout are getting the best of reviews. Moving along really well. Get those “shots” everyone! Also, stimulus talks looking very good.",24.7K,29.5K,166.4K
John Solomon,@jsolomonReports,2020-12-13T12:50:02.000Z,"Lawyer says Dominion vote-flip in Michigan was due to software, not ‘human error’ | Just The NewsLawyer says Dominion vote-flip in Michigan was due to software, not 'human error'
Disputes Secretary of State's version of events.
justthenews.com",6.8K,20.5K,64K
Donald J. Trump,@realDonaldTrump,2020-12-17T06:14:10.000Z,"“Michigan fraud witness totally debunks Dominion CEO.” 
@OANN
  It was brutal!This claim about election fraud is disputed",24.8K,58.8K,252.7K
TheBlaze,@theblaze,2020-12-16T23:12:12.000Z,"Will the Kentucky Republican challenge the Electoral College votes?Sen. Rand Paul says voter 'fraud happened' and 'the election in many ways was stolen'
Will the Kentucky Republican challenge the Electoral College votes?
theblaze.com",5.4K,15.5K,62.5K
Donald J. Trump,@realDonaldTrump,2020-12-16T19:10:26.000Z,"TRUE!This claim about election fraud is disputed
Quote Tweet
Sara A. Carter
@SaraCarterDC
 · Dec 16
.@RandPaul: 'The fraud happened. The election in many ways was stolen'

https://saraacarter.com/rand-paul-the-fraud-happened-the-election-in-many-ways-was-stolen/…
This claim about election fraud is disputed",33.7K,37.8K,156.3K
Donald J. Trump,@realDonaldTrump,2020-12-16T19:01:06.000Z,"1:00
2.3M views
From 
Donald J. Trump
This claim about election fraud is disputed",18.6K,49.7K,165.5K
Donald J. Trump,@realDonaldTrump,2020-12-16T18:51:14.000Z,"Chris Krebs was totally excoriated and proven wrong at the Senate Hearing on the Fraudulent 2020 Election. Massive FRAUD took place with machines, people voting from out of state, illegals, dead people, no signatures—and so much more!This claim about election fraud is disputed",35.6K,59K,225.1K
Donald J. Trump,@realDonaldTrump,2020-12-16T18:33:10.000Z,Former United States Solicitor General Ken Starr: Pennsylvania “Flagrantly Violated” Laws Ahead of Election.,21.6K,56K,249.7K
Donald J. Trump,@realDonaldTrump,2020-12-16T18:27:02.000Z,"Senate Hearings going on LIVE 
@OANN
, as to the Fraudulent 2020 Election that just took place. 
@SenRonJohnson
 doing an excellent job. Nevada must be flipped based on testimony!This claim about election fraud is disputed",18.5K,42.1K,184.4K
Donald J. Trump,@realDonaldTrump,2020-12-16T15:06:47.000Z,"Perhaps the biggest difference between 2016 and 2020 is 
@FoxNews
, despite the fact that I went from 63,000,000 Votes to 75,000,000 Votes, a record 12,000,000 Vote increase. Obama went down 3,000,000 Votes, and won. Rigged Election!!!This claim about election fraud is disputed",56.1K,63.4K,261.7K
Donald J. Trump,@realDonaldTrump,2020-12-16T13:21:05.000Z,"Can’t believe how badly 
@FoxNews
 is doing in the ratings. They played right into the hands of the Radical Left Democrats, & now are floating in limboland. Hiring fired 
@donnabraziIe
, and far worse, allowing endless negative and unedited commercials. 
@FoxNews
 is dead. Really Sad!",39.7K,47.5K,227.4K
Donald J. Trump,@realDonaldTrump,2020-12-16T12:32:47.000Z,"So ridiculous and unfair. Will people never make a stand!Quote Tweet
Daily Caller
@DailyCaller
 · Dec 15
Committee Recommends Changing Name Of Abraham Lincoln High School Because He Allegedly Didn’t Prove Black Lives Matter https://dailycaller.com/2020/12/15/san-francisco-rename-abraham-lincoln-high-school-racism/…",18.7K,33.8K,154.5K
Donald J. Trump,@realDonaldTrump,2020-12-16T05:40:41.000Z,"Trump's allies slam Mitch McConnell for congratulating Biden https://mol.im/a/9057747 via 
@MailOnline
. Mitch, 75,000,000 VOTES, a record for a sitting President (by a lot). Too soon to give up. Republican Party must finally learn to fight. People are angry!Trump's allies slam Mitch McConnell for congratulating Biden
'The Electoral College has spoken,' McConnell said on Tuesday morning, before adding he wanted to 'congratulate the President-elect Joe Biden' and Vice President-elect Kamala Harris.
dailymail.co.uk",33.5K,45.4K,160K
